id,label,timeset,fan_count,category,username,users_can_post,link,post_activity,talking_about_count
217302209174,dakhabrakha,,56705,Musician/Band,DakhaBrakha,yes,https://www.facebook.com/DakhaBrakha/,0.03,706
274368109246195,Polica,,105695,Musician/Band,thisispolica,yes,https://www.facebook.com/thisispolica/,0.01,169
7791476169,Meshuggah,,719322,Musician/Band,meshuggah,yes,https://www.facebook.com/meshuggah/,0.01,1026
414820971884598,Pusha T,,1496969,Musician/Band,PushaT,no,https://www.facebook.com/PushaT/,0.0,1434
172034457953,The Master Musicians of Jajouka led by Bachir Attar (official),,1658,Musician/Band,MMoJajouka,no,https://www.facebook.com/MMoJajouka/,0.01,38
10055031441,The Wood Brothers,,75279,Musician/Band,thewoodbrothers,yes,https://www.facebook.com/thewoodbrothers/,0.05,1251
169655923048543,Shovels and Rope,,108589,Musician/Band,shovelsandrope,yes,https://www.facebook.com/shovelsandrope/,0.03,279
18340714845,Seasick Steve,,366418,Artist,seasicksteve,yes,https://www.facebook.com/seasicksteve/,0.01,324
182011795216259,DARKSIDE,,173174,Musician/Band,DarksideUSA,yes,https://www.facebook.com/DarksideUSA/,0.0,217
466744043373670,ASAP Ferg,,2166138,Musician/Band,asapfergofficial,yes,https://www.facebook.com/asapfergofficial/,0.06,8960
313595788739120,SAM SMITH,,5749254,Musician,samsmithworld,yes,https://www.facebook.com/samsmithworld/,0.07,6021
10982025185,Warpaint,,424802,Musician/Band,warpaintwarpaint,yes,https://www.facebook.com/warpaintwarpaint/,0.01,2867
169503872630,Washed Out,,319711,Musician/Band,washed.out,yes,https://www.facebook.com/washed.out/,0.0,4704
81741167807,The Naked And Famous,,679611,Musician/Band,tnafofficial,yes,https://www.facebook.com/tnafofficial/,0.02,1428
7843752732,The Glitch Mob,,610121,Band,theglitchmobmusic,yes,https://www.facebook.com/theglitchmobmusic/,0.03,2344
6265405837,John Butler Trio,,730082,Musician/Band,JohnButlerTrio,yes,https://www.facebook.com/JohnButlerTrio/,0.05,4541
14072405524,Yonder Mountain String Band,,233838,Musician/Band,yondermountain,yes,https://www.facebook.com/yondermountain/,0.05,832
116463258445747,Chance The Rapper,,1823961,Musician/Band,chancetherapper,yes,https://www.facebook.com/chancetherapper/,0.69,7892
153995687964696,Jake Bugg,,822898,Musician/Band,jakebugguk,yes,https://www.facebook.com/jakebugguk/,0.01,10258
5748157947,Mastodon,,965748,Musician/Band,Mastodon,yes,https://www.facebook.com/Mastodon/,0.06,29016
44037224698,Andrew Bird,,382349,Musician/Band,AndrewBirdMusic,yes,https://www.facebook.com/AndrewBirdMusic/,0.01,425
80749331970,DIE ANTWOORD,,2568259,Musician/Band,DieAntwoord,yes,https://www.facebook.com/DieAntwoord/,0.02,45222
10945574855,Janelle Monáe,,1062496,Musician/Band,janellemonae,yes,https://www.facebook.com/janellemonae/,0.18,24528
24063159304,CAKE,,643388,Musician/Band,cakemusic,yes,https://www.facebook.com/cakemusic/,0.92,62882
7903942215,Slightly Stoopid,,1128630,Musician/Band,slightlystoopid,yes,https://www.facebook.com/slightlystoopid/,0.06,18256
21973336264,Ice Cube,,12475213,Musician/Band,IceCube,no,https://www.facebook.com/IceCube/,0.06,34311
52320298698,Bobby Womack,,353566,Musician/Band,OfficialBobbyWomack,yes,https://www.facebook.com/OfficialBobbyWomack/,0.01,245
243267652125,James Blake,,835535,Musician/Band,jamesblakemusic,yes,https://www.facebook.com/jamesblakemusic/,0.0,724
171417803492,Tedeschi Trucks Band,,486833,Musician/Band,DerekAndSusan,yes,https://www.facebook.com/DerekAndSusan/,0.03,17476
123880236106,Broken Bells,,395680,Musician/Band,brokenbellsmusic,no,https://www.facebook.com/brokenbellsmusic/,0.0,350
611430335551319,Ms. Lauryn Hill,,1684816,Musician/Band,mslaurynhill,yes,https://www.facebook.com/mslaurynhill/,0.05,3206
107281645968137,Zedd,,7006552,Musician/Band,Zedd,yes,https://www.facebook.com/Zedd/,0.02,64729
6816454446,Cut Copy,,393725,Musician/Band,cutcopy,yes,https://www.facebook.com/cutcopy/,0.03,3023
137029526330648,Disclosure,,1925231,Musician/Band,disclosureuk,yes,https://www.facebook.com/disclosureuk/,0.01,9314
222257161191973,Damon Albarn,,396517,Musician/Band,Damonalbarnofficial,no,https://www.facebook.com/Damonalbarnofficial/,0.0,552
61011643972,Kaskade,,1826758,Musician,kaskade,yes,https://www.facebook.com/kaskade/,0.07,7251
6542793033,Nick Cave & The Bad Seeds,,1114252,Musician/Band,nickcaveandthebadseeds,yes,https://www.facebook.com/nickcaveandthebadseeds/,0.05,1282
9520450966,Arctic Monkeys,,7182857,Musician/Band,ArcticMonkeys,yes,https://www.facebook.com/ArcticMonkeys/,0.03,9437
213734712014384,Lionel Richie,,4277341,Musician/Band,LionelRichie,no,https://www.facebook.com/LionelRichie/,0.24,149378
307684225931484,Jack White,,1588176,Musician/Band,jackwhite,no,https://www.facebook.com/jackwhite/,0.01,4425
142246372471145,Elton John,,6567139,Musician/Band,EltonJohn,no,https://www.facebook.com/EltonJohn/,0.06,35593
138265036271410,Black Dunes Photography,,369,Artist,jessrechsteinerphotography,yes,https://www.facebook.com/jessrechsteinerphotography/,0.01,1
155948557760277,Tennis Music,,50491,Musician/Band,tennisinc,yes,https://www.facebook.com/tennisinc/,0.02,155
345873382108213,Out Of Town Films,,1990,Visual Arts,OutOfTownFilms,yes,https://www.facebook.com/OutOfTownFilms/,0.0,5
143803712298118,Jenny Suk,,86685,Musician/Band,,yes,https://www.facebook.com/Jenny-Suk-143803712298118/,0.0,54
10232465869,Soul Khan,,34198,Musician/Band,soulkhan,yes,https://www.facebook.com/soulkhan/,0.01,32
