Source,Target,Type,id,label,timeset,weight
16064464852,9959371260,Directed,133,,,1.0
16064464852,76020366500,Directed,134,,,1.0
16064464852,111060605608362,Directed,135,,,1.0
16064464852,7891635905,Directed,136,,,1.0
16064464852,90232993569,Directed,137,,,1.0
16064464852,10664530778,Directed,138,,,1.0
16064464852,51414747045,Directed,139,,,1.0
16064464852,109496375743346,Directed,140,,,1.0
16064464852,22162118520,Directed,141,,,1.0
16064464852,88858242189,Directed,142,,,1.0
16064464852,6204904038,Directed,143,,,1.0
16064464852,40826698396,Directed,144,,,1.0
16064464852,7257971327,Directed,145,,,1.0
16064464852,10470616783,Directed,146,,,1.0
16064464852,131572223581891,Directed,147,,,1.0
16064464852,86000116180,Directed,148,,,1.0
16064464852,79544810932,Directed,149,,,1.0
16064464852,120416207997297,Directed,150,,,1.0
16064464852,24086728644,Directed,151,,,1.0
16064464852,53316485673,Directed,152,,,1.0
16064464852,123341951018917,Directed,153,,,1.0
16064464852,101894826563370,Directed,154,,,1.0
16064464852,158028717575175,Directed,155,,,1.0
16064464852,61277478605,Directed,156,,,1.0
16064464852,21557622350,Directed,157,,,1.0
16064464852,339208914093,Directed,158,,,1.0
16064464852,116206108413908,Directed,159,,,1.0
16064464852,9770929278,Directed,160,,,1.0
16064464852,39750656160,Directed,161,,,1.0
16064464852,24207397160,Directed,162,,,1.0
16064464852,108387522520578,Directed,163,,,1.0
16064464852,44263225700,Directed,164,,,1.0
16064464852,8898170428,Directed,165,,,1.0
16064464852,32628414768,Directed,166,,,1.0
16064464852,12574169404,Directed,167,,,1.0
16064464852,59959352943,Directed,168,,,1.0
16064464852,7962842692,Directed,169,,,1.0
16064464852,10842527313,Directed,170,,,1.0
16064464852,7437655030,Directed,171,,,1.0
16064464852,132596413296,Directed,172,,,1.0
16064464852,11381629894,Directed,173,,,1.0
16064464852,49037413990,Directed,174,,,1.0
16064464852,11533582018,Directed,175,,,1.0
16064464852,112548882106392,Directed,176,,,1.0
16064464852,34973575545,Directed,177,,,1.0
16064464852,9902532247,Directed,178,,,1.0
16064464852,20709893344,Directed,179,,,1.0
16064464852,20812406605,Directed,180,,,1.0
16064464852,10461018413,Directed,181,,,1.0
16064464852,6912776583,Directed,182,,,1.0
16064464852,10255413987,Directed,183,,,1.0
16064464852,39092603429,Directed,184,,,1.0
16064464852,8127568186,Directed,185,,,1.0
